concessionaria,praca_de_pedagio,rodovia,uf,municipio,localizacao,velocidadeAtual,velocidadeLivre,confiabilidade,coordenadas_inicial,coordenadas_final,dataHora,isFeriado
VIA BRASIL,P1 - Claúdia,BR-163,MT,Cláudia,"-11.339218,-55.331222",95,95,1.0,"{'latitude': -11.447751164524508, 'longitude': -55.35720398541474}","{'latitude': -11.222504629466597, 'longitude': -55.30278598780343}",2024-10-21_09-48-45,0
VIA BRASIL,P2 - Guarantã do Norte,BR-163,MT,Terra Nova do Norte,"-9.756473,-54.894430",85,85,1.0,"{'latitude': -9.95888513265391, 'longitude': -54.90458791956878}","{'latitude': -9.739452225543808, 'longitude': -54.88724475607445}",2024-10-21_09-48-46,0
VIA BRASIL,P3 - Trairão,BR-163,PA,Trairão,"-4.620594,-55.951381",78,78,1.0,"{'latitude': -4.700164928166222, 'longitude': -55.99518081080056}","{'latitude': -4.522726069163351, 'longitude': -55.87410589584013}",2024-10-21_09-48-47,0
VIA COSTEIRA,P1-Laguna,BR-101,SC,Laguna,"-28.350722,-48.739429",104,104,1.0,"{'latitude': -28.387356220800857, 'longitude': -48.77382119856165}","{'latitude': -28.153971819962337, 'longitude': -48.6924335892993}",2024-10-21_09-48-49,0
VIA COSTEIRA,P2-Tubarão,BR-101,SC,Tubarão,"-28.554278,-49.054214",103,103,1.0,"{'latitude': -28.549808252672687, 'longitude': -49.05398731796396}","{'latitude': -28.699423202460185, 'longitude': -49.19206877918728}",2024-10-21_09-48-50,0
VIA COSTEIRA,P3-Araranguá,BR-101,SC,Maracajá,"-28.897740,-49.473136",102,102,1.0,"{'latitude': -28.826423076709574, 'longitude': -49.40714707351455}","{'latitude': -28.91901567294764, 'longitude': -49.48976984002854}",2024-10-21_09-48-52,0
VIA COSTEIRA,P4-São João do Sul,BR-101,SC,São João do Sul,"-29.243667,-49.754475",106,106,1.0,"{'latitude': -29.25933965129038, 'longitude': -49.75625535234721}","{'latitude': -29.057443095365322, 'longitude': -49.62250699978847}",2024-10-21_09-48-53,0
VIA MINEIRA,P1 - Itabirito,BR-40,MG,Itabirito,"-20.272880,-43.951120",88,88,1.0,"{'latitude': -20.42043909019989, 'longitude': -43.88152425733432}","{'latitude': -20.20394721921884, 'longitude': -43.97411143034094}",2024-10-21_09-48-54,0
VIA MINEIRA,P2 - Lafaiete,BR-40,MG,Conselheiro Lafaiete,"-20.767020,-43.806680",89,89,1.0,"{'latitude': -20.824830356794145, 'longitude': -43.809763096228664}","{'latitude': -20.66339222905257, 'longitude': -43.80309780682509}",2024-10-21_09-48-55,0
VIA MINEIRA,P3 - Barbacena,BR-40,MG,Barbacena,"-21.262710,-43.662240",88,88,1.0,"{'latitude': -21.249237624293087, 'longitude': -43.667784385305794}","{'latitude': -21.299130762377587, 'longitude': -43.62833043179202}",2024-10-21_09-48-57,0
VIA SUL,P1-Três Cachoeiras,BR-101,RS,Três Cachoeiras,"-29.520461,-49.996581",90,90,1.0,"{'latitude': -29.53615169020229, 'longitude': -50.02738645068075}","{'latitude': -29.517617665504527, 'longitude': -49.99142205109621}",2024-10-21_09-48-58,0
VIA SUL,P4-Montenegro,BR-386,RS,Montenegro,"-29.819760,-51.360405",93,93,1.0,"{'latitude': -29.814561006469603, 'longitude': -51.4925176444213}","{'latitude': -29.845894536878276, 'longitude': -51.27797847410616}",2024-10-21_09-48-59,0
VIA SUL,P5-Paverama,BR-386,RS,Paverama,"-29.626833,-51.775773",85,85,1.0,"{'latitude': -29.6159809421478, 'longitude': -51.792334968175794}","{'latitude': -29.635172139923448, 'longitude': -51.77353804739508}",2024-10-21_09-49-01,0
